# ::id 125016
# ::tok Hepburn 's first entrance called for her to leap down a narrow stairway with a stag over her shoulder , wearing a short silver tunic .
# ::alignments 0-1.2.1 1-1.1.1.1.2 2-1.1.1.2 3-1.1.1.3 4-1.1.2 5-1.1.3.1 6-1.1.3.2 8-1.1.3.4 9-1.1.3.5 10-1.1.3.6.1 11-1.1.3.6.2.2 12-1.1.3.6.3 13-1.1.3.7.1 14-1.1.3.7.2 15-1.1.3.7.3 16-1.1.3.7.4.1 17-1.1.3.7.4.2 18-1.1.3.7.4.3 20-1.2.2 21-1.2.3.4 22-1.2.3.5 23-1.2.3.1 24-1.2.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v4 / label
                  :A (v10 / label
                          :C (v7 / label~e.0)
                          :R (v23 / label~e.1))
                  :D (v11 / label~e.2)
                  :P (v12 / label~e.3))
           :S (v5 / label~e.4)
           :A (v6 / label
                  :R (v13 / label~e.5)
                  :A (v14 / label~e.6)
                  :P (v15 / label~e.8)
                  :D (v16 / label~e.9)
                  :A (v17 / label
                          :E (v24 / label~e.10)
                          :E (v25 / label
                                  :A (v26 / label~e.12)
                                  :S (v31 / label~e.11))
                          :C v26)
                  :A (v18 / label
                          :R (v27 / label~e.13)
                          :E (v28 / label~e.14)
                          :C (v29 / label~e.15)
                          :E (v30 / label
                                  :R (v32 / label~e.16)
                                  :E (v33 / label~e.17)
                                  :C (v34 / label~e.18)))))
    :H (v3 / label
           :A v7
           :P (v8 / label~e.20)
           :A (v9 / label
                  :E (v19 / label~e.23)
                  :C (v20 / label~e.24)
                  :E (v21 / label~e.21)
                  :E (v22 / label~e.22))))
