# ::id 148008
# ::tok In her autobiography she wrote , " It was a unique feeling that I had for [ Tracy ] . I would have done anything for him . " Lauren Bacall , a close friend , later wrote of how " blindingly " in love Hepburn was with the actor .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.1.3 3-1.1.2 4-1.1.3 7-1.1.4.1.1 8-1.1.4.1.2 9-1.1.4.1.3.2 10-1.1.4.1.3.3 11-1.1.4.1.3.4 12-1.1.4.1.3.1.1 13-1.1.4.1.3.1.2 15-1.1.4.1.3.1.4.1 17-1.1.4.1.3.1.4.2 20-1.1.4.2.1 23-1.1.4.2.2.3 24-1.1.4.2.3 25-1.1.4.2.4.1 26-1.1.4.2.4.2 29-1.2.1.1 30-1.2.1.1 32-1.2.1.2.1 33-1.2.1.2.2 34-1.2.1.2.3 36-1.2.2 37-1.2.4 38-1.2.5.1 39-1.2.5.2 41-1.2.5.3 43-1.2.5.4.1 44-1.2.5.4.1 45-1.2.5.5 47-1.2.5.6.1 48-1.2.5.6.2 49-1.2.5.6.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v4 / label
                  :R (v12 / label~e.0)
                  :E (v13 / label~e.1)
                  :C (v14 / label~e.2))
           :A (v5 / label~e.3)
           :P (v6 / label~e.4)
           :A (v7 / label
                  :H (v15 / label
                          :A (v25 / label~e.7)
                          :S (v26 / label~e.8)
                          :A (v27 / label
                                  :E (v39 / label
                                          :R (v46 / label~e.12)
                                          :A (v47 / label~e.13)
                                          :P (v48 / label
                                                  :C (v42 / label~e.11))
                                          :A (v49 / label
                                                  :R (v50 / label~e.15)
                                                  :C (v51 / label~e.17))
                                          :A v42)
                                  :E (v40 / label~e.9)
                                  :E (v41 / label~e.10)
                                  :C v42))
                  :H (v16 / label
                          :A (v28 / label~e.20)
                          :P (v29 / label
                                  :C (v43 / label~e.23))
                          :A (v30 / label~e.24)
                          :A (v31 / label
                                  :R (v44 / label~e.25)
                                  :C (v45 / label~e.26)))))
    :H (v3 / label
           :A (v8 / label
                  :C (v17 / label~e.29,30)
                  :E (v18 / label
                          :E (v32 / label~e.32)
                          :E (v33 / label~e.33)
                          :C (v34 / label~e.34)))
           :D (v9 / label~e.36)
           :P (v10 / label~e.37)
           :A (v11 / label
                   :R (v19 / label~e.38)
                   :D (v20 / label~e.39)
                   :D (v21 / label~e.41)
                   :P (v22 / label
                           :C (v35 / label~e.43,44))
                   :A (v23 / label~e.45)
                   :A (v24 / label
                           :R (v36 / label~e.47)
                           :E (v37 / label~e.48)
                           :C (v38 / label~e.49)))))
