# ::id 209006
# ::tok Throughout the 1990s , Hoffman appeared in many large , studio films , such as Dick Tracy ( 1990 ) ( where his Ishtar co-star Beatty plays the titular character ) , Hero ( 1992 ) and Billy Bathgate ( 1991 ) co-starring with Nicole Kidman who was nominated for a Golden Globe ) .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.1.3 4-1.1.2 5-1.1.4 6-1.1.5.7 7-1.1.5.8 8-1.1.5.1 10-1.1.5.4 11-1.1.5.5 13-1.1.5.2.1 14-1.1.5.2.1 15-1.1.5.2.2.1.1 16-1.1.5.2.2.1.1 18-1.1.5.2.2.1.2 22-1.1.5.2.2.1.3.2.1 23-1.1.5.2.2.1.3.2.2 24-1.1.5.2.2.1.3.2.3 25-1.1.5.2.2.1.3.2.4 26-1.1.5.2.2.1.3.3 27-1.1.5.2.2.1.3.4.1 28-1.1.5.2.2.1.3.4.2 29-1.1.5.2.2.1.3.4.3 32-1.1.5.2.2.2.1 34-1.1.5.2.2.2.2 36-1.1.5.2.2.3 37-1.1.5.2.2.4.1 38-1.1.5.2.2.4.1 40-1.1.5.2.2.4.2 42-1.1.5.2.2.4.3.1 43-1.1.5.2.2.4.3.2.1 44-1.1.5.2.2.4.3.2.2 45-1.1.5.2.2.4.3.2.2 47-1.1.5.2.2.4.3.2.3.3.1 48-1.1.5.2.2.4.3.2.3.3.2 49-1.1.5.2.2.4.3.2.3.4.1 50-1.1.5.2.2.4.3.2.3.4.2 51-1.1.5.2.2.4.3.2.3.4.3 52-1.1.5.2.2.4.3.2.3.4.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :D (v3 / label
                  :R (v7 / label~e.0)
                  :E (v8 / label~e.1)
                  :C (v9 / label~e.2))
           :A (v4 / label~e.4)
           :P (v5 / label~e.5)
           :A (v6 / label
                  :E (v10 / label~e.8)
                  :E (v11 / label
                          :R (v16 / label~e.13,14)
                          :C (v17 / label
                                  :C (v18 / label
                                          :C (v22 / label~e.15,16)
                                          :E (v23 / label~e.18)
                                          :E (v24 / label
                                                  :A (v30 / label
                                                          :E (v35 / label~e.22)
                                                          :E (v36 / label~e.23)
                                                          :E (v37 / label~e.24)
                                                          :C (v38 / label~e.25))
                                                  :P (v31 / label~e.26)
                                                  :A (v32 / label
                                                          :E (v39 / label~e.27)
                                                          :E (v40 / label~e.28)
                                                          :C (v41 / label~e.29))))
                                  :C (v19 / label
                                          :C (v25 / label~e.32)
                                          :E (v26 / label~e.34))
                                  :N (v20 / label~e.36)
                                  :C (v21 / label
                                          :C (v27 / label~e.37,38)
                                          :E (v28 / label~e.40)
                                          :E (v29 / label
                                                  :P (v33 / label~e.42)
                                                  :A (v34 / label
                                                          :R (v42 / label~e.43)
                                                          :C (v43 / label~e.44,45)
                                                          :E (v44 / label
                                                                  :A v43
                                                                  :P (v45 / label
                                                                          :E (v47 / label~e.47)
                                                                          :C (v48 / label~e.48))
                                                                  :A (v46 / label
                                                                          :R (v49 / label~e.49)
                                                                          :E (v50 / label~e.50)
                                                                          :C (v51 / label~e.51,52))))
                                                  :A v4))))
                  :E (v12 / label~e.10)
                  :C (v13 / label~e.11)
                  :R (v14 / label~e.6)
                  :E (v15 / label~e.7))))
