# ::id 225003
# ::tok Chan then played a minor role in the 1981 film The Cannonball Run , which grossed US $ 100 million worldwide .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3 3-1.1.4.1 4-1.1.4.2 5-1.1.4.3 6-1.1.5.6 7-1.1.5.7 8-1.1.5.1 9-1.1.5.2 10-1.1.5.3 11-1.1.5.3 12-1.1.5.3 14-1.1.5.4.2 15-1.1.5.4.3 16-1.1.5.4.4 18-1.1.5.4.4 19-1.1.5.4.4 20-1.1.5.4.5
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :D (v4 / label~e.1)
           :P (v5 / label~e.2)
           :A (v6 / label
                  :E (v8 / label~e.3)
                  :E (v9 / label~e.4)
                  :C (v10 / label~e.5))
           :A (v7 / label
                  :E (v11 / label~e.8)
                  :E (v12 / label~e.9)
                  :C (v13 / label~e.10,11,12)
                  :E (v14 / label
                          :A v13
                          :R (v17 / label~e.14)
                          :P (v18 / label~e.15)
                          :A (v19 / label~e.16,18,19)
                          :A (v20 / label~e.20))
                  :R (v15 / label~e.6)
                  :E (v16 / label~e.7))))
