# ::id 252001
# ::tok It was the first major Off - Broadway revival of the play since its 1985 premiere .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.1.1 3-1.1.3.1.2 4-1.1.3.1.3 5-1.1.3.1.4.1 7-1.1.3.1.4.2 8-1.1.3.1.5 9-1.1.3.2.1 10-1.1.3.2.2 11-1.1.3.2.3 12-1.2 13-1.3.1 14-1.3.2 15-1.3.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label~e.0)
           :S (v6 / label~e.1)
           :A (v7 / label
                  :P (v11 / label
                          :E (v13 / label~e.2)
                          :E (v14 / label~e.3)
                          :E (v15 / label~e.4)
                          :E (v16 / label
                                  :E (v21 / label~e.5)
                                  :C (v22 / label~e.7))
                          :C (v17 / label~e.8))
                  :A (v12 / label
                          :R (v18 / label~e.9)
                          :E (v19 / label~e.10)
                          :C (v20 / label~e.11))))
    :L (v3 / label~e.12)
    :H (v4 / label
           :A (v8 / label~e.13)
           :D (v9 / label~e.14)
           :P (v10 / label~e.15)))
