# ::id 28010
# ::tok He made guest appearances on television series Head of the Class , Freddy 's Nightmares , Thirtysomething , and ( for a second time ) Growing Pains .
# ::alignments 0-1.1.1 2-1.1.3 3-1.1.2.2 4-1.1.4.1 5-1.1.4.2.1 6-1.1.4.2.2 7-1.1.4.3.1 8-1.1.4.3.1 9-1.1.4.3.1 10-1.1.4.3.1 12-1.1.4.3.2 13-1.1.4.3.2 14-1.1.4.3.2 16-1.1.4.3.3 18-1.1.4.3.4 20-1.1.4.3.5.1.1 22-1.1.4.3.5.1.3 23-1.1.4.3.5.1.4 25-1.1.4.3.5.2 26-1.1.4.3.5.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label
                  :C (v7 / label~e.3))
           :A (v5 / label~e.2)
           :A (v6 / label
                  :R (v8 / label~e.4)
                  :E (v9 / label
                         :E (v11 / label~e.5)
                         :C (v12 / label~e.6))
                  :C (v10 / label
                          :C (v13 / label~e.7,8,9,10)
                          :C (v14 / label~e.12,13,14)
                          :C (v15 / label~e.16)
                          :N (v16 / label~e.18)
                          :C (v17 / label
                                  :D (v18 / label
                                          :R (v20 / label~e.20)
                                          :Q (v21 / label~e.22)
                                          :C (v22 / label~e.23))
                                  :C (v19 / label~e.25,26))))))
