# ::id 376015
# ::tok His parents insisted that he have summer jobs to support himself , and he thus worked as a lifeguard and as a busboy at a restaurant operated by a family friend .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.2 4-1.3.3 5-1.1.3.3 6-1.1.3.4.1 7-1.1.3.4.2 8-1.2 9-1.3.1 10-1.3.2 12-1.4 13-1.5.1 14-1.6 15-1.5.2 16-1.5.3.1.1 17-1.5.3.1.2 18-1.5.3.1.3 19-1.5.3.2 20-1.5.3.3.1 21-1.5.3.3.2 22-1.5.3.3.3 23-1.5.3.3.4.1 24-1.5.3.3.4.3 25-1.5.3.3.4.4 26-1.5.3.3.4.2.1 27-1.5.3.3.4.2.2.1 28-1.5.3.3.4.2.2.2 29-1.5.3.3.4.2.2.3 30-1.5.3.3.4.2.2.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v8 / label
                  :E (v17 / label~e.0)
                  :C (v18 / label~e.1))
           :P (v9 / label~e.2)
           :A (v10 / label
                   :A (v13 / label~e.4)
                   :P (v19 / label~e.5)
                   :A (v20 / label
                           :E (v24 / label~e.6)
                           :C (v25 / label~e.7))))
    :L (v3 / label~e.8)
    :H (v4 / label
           :P (v11 / label~e.9)
           :D (v12 / label~e.10)
           :A v13)
    :L (v5 / label~e.12)
    :H (v6 / label
           :A (v14 / label~e.13)
           :P (v15 / label~e.15)
           :A (v16 / label
                   :C (v21 / label
                           :R (v26 / label~e.16)
                           :E (v27 / label~e.17)
                           :C (v28 / label~e.18))
                   :N (v22 / label~e.19)
                   :C (v23 / label
                           :R (v29 / label~e.20)
                           :E (v30 / label~e.21)
                           :C (v31 / label~e.22)
                           :E (v32 / label
                                   :R (v33 / label~e.23)
                                   :E (v34 / label
                                           :P (v37 / label~e.26)
                                           :A (v38 / label
                                                   :R (v39 / label~e.27)
                                                   :E (v40 / label~e.28)
                                                   :E (v41 / label~e.29)
                                                   :C (v42 / label~e.30))
                                           :A (v36 / label~e.25))
                                   :E (v35 / label~e.24)
                                   :C v36))))
    :L (v7 / label~e.14))
