# ::id 379001
# ::tok In Proof , featuring Gwyneth Paltrow and Anthony Hopkins , Gyllenhaal played a graduate student in mathematics who tries to convince Paltrow 's character to publish a revolutionary proof to a problem puzzling the mathematicians ' community .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.1.4.2 4-1.1.1.4.3.1 5-1.1.1.4.3.1 6-1.1.1.4.3.2 7-1.1.1.4.3.3 8-1.1.1.4.3.3 10-1.1.3 11-1.1.4 12-1.1.5.3 13-1.1.5.4 14-1.1.5.5 15-1.1.5.2.1 16-1.1.5.2.2 18-1.1.5.1.2.1 20-1.1.5.1.2.3 21-1.1.5.1.4.3 22-1.1.5.1.3.1.2 23-1.1.5.1.3.2 25-1.1.5.1.4.1.2 26-1.1.5.1.4.2.2 27-1.1.5.1.4.2.3 28-1.1.5.1.4.2.4 29-1.1.5.1.4.2.1.1 30-1.1.5.1.4.2.1.2 31-1.1.5.1.4.2.1.3 32-1.1.5.1.4.2.1.4.2 33-1.1.5.1.4.2.1.4.3.1 34-1.1.5.1.4.2.1.4.3.2 36-1.1.5.1.4.2.1.4.3.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :R (v7 / label~e.0)
                  :C (v8 / label~e.1)
                  :E (v9 / label
                         :A v8
                         :P (v15 / label~e.3)
                         :A (v16 / label
                                 :C (v22 / label~e.4,5)
                                 :N (v23 / label~e.6)
                                 :C (v24 / label~e.7,8))))
           :A (v4 / label~e.10)
           :P (v5 / label~e.11)
           :A (v6 / label
                  :E (v10 / label
                          :P (v17 / label
                                  :E (v25 / label~e.18)
                                  :C (v26 / label~e.20))
                          :A (v18 / label
                                  :E (v27 / label
                                          :C (v31 / label~e.21)
                                          :R (v32 / label~e.22))
                                  :C (v28 / label~e.23))
                          :A (v19 / label
                                  :P (v29 / label
                                          :C (v33 / label~e.25))
                                  :A (v30 / label
                                          :E (v34 / label
                                                  :R (v38 / label~e.29)
                                                  :E (v39 / label~e.30)
                                                  :C (v40 / label~e.31)
                                                  :E (v41 / label
                                                          :A v40
                                                          :P (v42 / label~e.32)
                                                          :A (v43 / label
                                                                  :E (v44 / label~e.33)
                                                                  :E (v45 / label~e.34)
                                                                  :C (v46 / label~e.36))))
                                          :E (v35 / label~e.26)
                                          :E (v36 / label~e.27)
                                          :C (v37 / label~e.28))
                                  :A v31)
                          :A (v14 / label~e.14))
                  :E (v11 / label
                          :R (v20 / label~e.15)
                          :C (v21 / label~e.16))
                  :E (v12 / label~e.12)
                  :E (v13 / label~e.13)
                  :C v14)))
