# ::id 382000
# ::tok Raised in a family concerned with social issues , in 2003 Gyllenhaal participated in an advertising campaign by the American Civil Liberties Union , an organization his entire family strongly supports .
# ::alignments 0-1.1.1 1-1.1.2.1 2-1.1.2.3 3-1.1.2.4 4-1.1.2.2.1 5-1.1.2.2.2.1 6-1.1.2.2.2.2 7-1.1.2.2.2.3 9-1.2.1.1 10-1.2.1.2 11-1.1.3 12-1.2.3 13-1.2.4.2 14-1.2.4.3 15-1.2.4.4 16-1.2.4.5 17-1.2.4.1.1 18-1.2.4.1.3 19-1.2.4.1.4 20-1.2.4.1.4 21-1.2.4.1.4 22-1.2.4.1.4 24-1.2.4.1.2.1 25-1.2.4.1.2.2 26-1.2.4.1.2.3.2.1 27-1.2.4.1.2.3.2.2 28-1.2.4.1.2.3.2.3 29-1.2.4.1.2.3.3 30-1.2.4.1.2.3.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :P (v4 / label~e.0)
           :A (v5 / label
                  :R (v10 / label~e.1)
                  :E (v11 / label
                          :P (v21 / label~e.4)
                          :A (v22 / label
                                  :R (v27 / label~e.5)
                                  :E (v28 / label~e.6)
                                  :C (v29 / label~e.7))
                          :A (v13 / label~e.3))
                  :E (v12 / label~e.2)
                  :C v13)
           :A (v6 / label~e.11))
    :H (v3 / label
           :D (v7 / label
                  :R (v14 / label~e.9)
                  :C (v15 / label~e.10))
           :A v6
           :P (v8 / label~e.12)
           :A (v9 / label
                  :E (v16 / label
                          :R (v23 / label~e.17)
                          :E (v24 / label
                                  :E (v30 / label~e.24)
                                  :C (v31 / label~e.25)
                                  :E (v32 / label
                                          :A v31
                                          :A (v33 / label
                                                  :E (v36 / label~e.26)
                                                  :E (v37 / label~e.27)
                                                  :C (v38 / label~e.28))
                                          :D (v34 / label~e.29)
                                          :P (v35 / label~e.30)))
                          :E (v25 / label~e.18)
                          :C (v26 / label~e.19,20,21,22))
                  :R (v17 / label~e.13)
                  :E (v18 / label~e.14)
                  :E (v19 / label~e.15)
                  :C (v20 / label~e.16))))
