# ::id 566000
# ::tok On December 4 , Presley dropped into Sun Records where Carl Perkins and Jerry Lee Lewis were recording and jammed with them .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.1.2 4-1.1.2 5-1.1.3 6-1.1.4.1 7-1.1.4.2 8-1.1.4.2 9-1.2 10-1.3.1.1 11-1.3.1.1 12-1.3.1.2 13-1.3.1.3 14-1.3.1.3 15-1.3.1.3 17-1.3.3 18-1.4 19-1.5.2 20-1.5.3.1 21-1.5.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :D (v7 / label
                  :R (v15 / label~e.0)
                  :C (v16 / label~e.1,2))
           :A (v8 / label~e.4)
           :P (v9 / label~e.5)
           :A (v10 / label
                   :R (v17 / label~e.6)
                   :C (v18 / label~e.7,8)))
    :L (v3 / label~e.9)
    :H (v4 / label
           :A (v11 / label
                   :C (v19 / label~e.10,11)
                   :N (v20 / label~e.12)
                   :C (v21 / label~e.13,14,15))
           :P (v12 / label~e.17))
    :L (v5 / label~e.18)
    :H (v6 / label
           :A v8
           :P (v13 / label~e.19)
           :A (v14 / label
                   :R (v22 / label~e.20)
                   :C (v23 / label~e.21))))
