# ::id 614009
# ::tok McCartney played a Moog synthesizer on the Beatles song " Maxwell 's Silver Hammer " and the Wings track " Loup ( 1st Indian on the Moon ) " .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.1 3-1.1.3.2 4-1.1.3.3 5-1.1.4.1 6-1.1.4.2.1.1.1 7-1.1.4.2.1.1.2 8-1.1.4.2.1.1.3 10-1.1.4.2.1.2 11-1.1.4.2.1.2 12-1.1.4.2.1.2 13-1.1.4.2.1.2 15-1.1.4.2.2 16-1.1.4.2.3.1.1.1 17-1.1.4.2.3.1.1.2 18-1.1.4.2.3.1.2 20-1.1.4.2.3.2 22-1.1.4.2.3.2 23-1.1.4.2.3.2 24-1.1.4.2.3.2 25-1.1.4.2.3.2 26-1.1.4.2.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label~e.1)
           :A (v5 / label
                  :E (v7 / label~e.2)
                  :E (v8 / label~e.3)
                  :C (v9 / label~e.4))
           :A (v6 / label
                  :R (v10 / label~e.5)
                  :C (v11 / label
                          :C (v12 / label
                                  :E (v15 / label
                                          :E (v19 / label~e.6)
                                          :E (v20 / label~e.7)
                                          :C (v21 / label~e.8))
                                  :C (v16 / label~e.10,11,12,13))
                          :N (v13 / label~e.15)
                          :C (v14 / label
                                  :E (v17 / label
                                          :E (v22 / label
                                                  :E (v24 / label~e.16)
                                                  :C (v25 / label~e.17))
                                          :C (v23 / label~e.18))
                                  :C (v18 / label~e.20,22,23,24,25,26))))))
