# ::id 618011
# ::tok In 2007 , McCartney signed with Hear Music , becoming the label 's first artist .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.2 4-1.1.3 5-1.1.4.1 6-1.1.4.2 7-1.1.4.3 9-1.2.1 10-1.2.2.1.1 11-1.2.2.1.2 12-1.2.2.1.3 13-1.2.2.2 14-1.2.2.3
(v1 / label
    :H (v2 / label
           :D (v4 / label
                  :R (v10 / label~e.0)
                  :C (v11 / label~e.1))
           :A (v5 / label~e.3)
           :P (v6 / label~e.4)
           :A (v7 / label
                  :R (v12 / label~e.5)
                  :E (v13 / label~e.6)
                  :C (v14 / label~e.7)))
    :H (v3 / label
           :P (v8 / label~e.9)
           :A (v9 / label
                  :E (v15 / label
                          :E (v18 / label~e.10)
                          :C (v19 / label~e.11)
                          :R (v20 / label~e.12))
                  :E (v16 / label~e.13)
                  :C (v17 / label~e.14))
           :A v5))
