# ::id 661011
# ::tok In hopes of putting any claims of her being a manufactured artist to rest , Carey and Walter Afanasieff decided to book an appearance on MTV Unplugged , a television program aired by MTV .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.1.3 3-1.1.2.1.1 4-1.1.2.2.1 5-1.1.2.2.3 6-1.1.2.2.4 7-1.1.2.2.2.1 8-1.1.2.2.2.2.1 9-1.1.2.2.2.2.2 10-1.1.2.2.2.2.3 11-1.1.2.2.2.2.4 12-1.1.2.1.2 13-1.1.2.1.3 15-1.1.4.1 16-1.1.4.2 17-1.1.4.3 18-1.1.4.3 19-1.2.2.1 21-1.2.2.3 22-1.2.3.1 23-1.2.3.2 24-1.2.4.1 25-1.2.4.2 26-1.2.4.2 28-1.2.4.3.1.1 29-1.2.4.3.1.2 30-1.2.4.3.1.3 31-1.2.4.3.2 32-1.2.4.3.3.1 33-1.2.4.3.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :P (v4 / label
                  :R (v10 / label~e.0)
                  :C (v11 / label~e.1)
                  :R (v12 / label~e.2))
           :A (v5 / label
                  :P (v13 / label
                          :E (v25 / label~e.3)
                          :R (v26 / label~e.12)
                          :C (v27 / label~e.13))
                  :A (v14 / label
                          :E (v28 / label~e.4)
                          :E (v29 / label
                                  :A (v35 / label~e.7)
                                  :S (v36 / label
                                          :E (v42 / label~e.8)
                                          :E (v43 / label~e.9)
                                          :E (v44 / label~e.10)
                                          :C (v45 / label~e.11)))
                          :C (v30 / label~e.5)
                          :R (v31 / label~e.6)))
           :A (v6 / label
                  :C (v15 / label~e.15)
                  :N (v16 / label~e.16)
                  :C (v17 / label~e.17,18)))
    :H (v3 / label
           :A v6
           :P (v7 / label
                  :E (v18 / label~e.19)
                  :C (v19 / label~e.21))
           :A (v8 / label
                  :E (v20 / label~e.22)
                  :C (v21 / label~e.23))
           :A (v9 / label
                  :R (v22 / label~e.24)
                  :C (v23 / label~e.25,26)
                  :E (v24 / label
                          :A (v32 / label
                                  :E (v37 / label~e.28)
                                  :E (v38 / label~e.29)
                                  :C (v39 / label~e.30))
                          :P (v33 / label~e.31)
                          :A (v34 / label
                                  :R (v40 / label~e.32)
                                  :C (v41 / label~e.33))))))
