# ::id 706000
# ::tok Dylan 's embrace of born - again Christianity was unpopular with some of his fans and fellow musicians .
# ::alignments 0-1.1.1.1.1 1-1.1.1.1.2 2-1.1.1.2 3-1.1.1.3.1 4-1.1.1.3.2.2 6-1.1.1.3.2.3 7-1.1.1.3.3 9-1.1.2.2 10-1.1.3.3 11-1.1.3.4 12-1.1.3.5 13-1.1.3.1 14-1.1.3.2.1 15-1.1.3.2.2 16-1.1.3.2.3.1 17-1.1.3.2.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :A (v6 / label
                         :C (v15 / label~e.0)
                         :R (v16 / label~e.1))
                  :P (v7 / label~e.2)
                  :A (v8 / label
                         :R (v17 / label~e.3)
                         :E (v18 / label
                                 :A (v19 / label~e.7)
                                 :P (v23 / label~e.4)
                                 :D (v24 / label~e.6))
                         :C v19))
           :S (v4 / label
                  :C (v9 / label~e.9))
           :A (v5 / label
                  :E (v10 / label~e.13)
                  :C (v11 / label
                          :C (v20 / label~e.14)
                          :N (v21 / label~e.15)
                          :C (v22 / label
                                  :E (v25 / label~e.16)
                                  :C (v26 / label~e.17)))
                  :R (v12 / label~e.10)
                  :E (v13 / label~e.11)
                  :R (v14 / label~e.12))))
