# ::id 707004
# ::tok Dylan 's next studio album , Knocked Out Loaded , was released in July 1986 and contained three cover songs ( by Little Junior Parker , Kris Kristofferson and the traditional gospel hymn " Precious Memories " ) , plus three collaborations with other writers ( Tom Petty , Sam Shepard and Carole Bayer Sager ) , and two solo compositions by Dylan .
# ::alignments 0-1.1.1.3.1 1-1.1.1.3.2 2-1.1.1.4 3-1.1.1.5 4-1.1.1.6 6-1.3.2 7-1.3.2 8-1.3.2 11-1.1.2.2 12-1.1.3.1 13-1.1.3.2 14-1.1.3.3 15-1.2 16-1.3.1 17-1.3.3.6.1 18-1.3.3.6.3 19-1.3.3.6.4 21-1.3.3.6.2.1 22-1.3.3.6.2.2.1 23-1.3.3.6.2.2.1 24-1.3.3.6.2.2.1 26-1.3.3.6.2.2.2 27-1.3.3.6.2.2.2 28-1.3.3.6.2.2.3 29-1.3.3.6.2.2.4.1 30-1.3.3.6.2.2.4.2 31-1.3.3.6.2.2.4.4 32-1.3.3.6.2.2.4.5 34-1.3.3.6.2.2.4.3 35-1.3.3.6.2.2.4.3 39-1.3.3.1 40-1.3.3.2.1 41-1.3.3.2.2 42-1.3.3.2.3.1 43-1.3.3.2.3.2 44-1.3.3.2.3.3 46-1.3.3.2.3.4.1 47-1.3.3.2.3.4.1 49-1.3.3.2.3.4.2 50-1.3.3.2.3.4.2 51-1.3.3.2.3.4.3 52-1.3.3.2.3.4.4 53-1.3.3.2.3.4.4 54-1.3.3.2.3.4.4 57-1.3.3.3 58-1.3.3.4.1 59-1.3.3.4.2 60-1.3.3.4.3 61-1.3.3.4.4.1 62-1.3.3.4.4.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label
                  :E (v9 / label~e.6,7,8)
                  :E (v11 / label
                          :C (v24 / label~e.0)
                          :R (v25 / label~e.1))
                  :E (v12 / label~e.2)
                  :E (v13 / label~e.3)
                  :C (v14 / label~e.4))
           :P (v6 / label
                  :C (v15 / label~e.11))
           :D (v7 / label
                  :R (v16 / label~e.12)
                  :E (v17 / label~e.13)
                  :C (v18 / label~e.14)))
    :L (v3 / label~e.15)
    :H (v4 / label
           :P (v8 / label~e.16)
           :A v9
           :A (v10 / label
                   :N (v19 / label~e.39)
                   :C (v20 / label
                           :A (v26 / label~e.40)
                           :P (v27 / label~e.41)
                           :A (v28 / label
                                   :R (v37 / label~e.42)
                                   :E (v38 / label~e.43)
                                   :C (v39 / label~e.44)
                                   :E (v40 / label
                                           :C (v45 / label~e.46,47)
                                           :C (v46 / label~e.49,50)
                                           :N (v47 / label~e.51)
                                           :C (v48 / label~e.52,53,54))))
                   :N (v21 / label~e.57)
                   :C (v22 / label
                           :E (v29 / label~e.58)
                           :E (v30 / label~e.59)
                           :C (v31 / label~e.60)
                           :E (v32 / label
                                   :R (v41 / label~e.61)
                                   :C (v42 / label~e.62)))
                   :C (v23 / label
                           :E (v33 / label~e.17)
                           :E (v34 / label
                                   :R (v43 / label~e.21)
                                   :C (v44 / label
                                           :C (v49 / label~e.22,23,24)
                                           :C (v50 / label~e.26,27)
                                           :N (v51 / label~e.28)
                                           :C (v52 / label
                                                   :E (v53 / label~e.29)
                                                   :E (v54 / label~e.30)
                                                   :E (v55 / label~e.34,35)
                                                   :E (v56 / label~e.31)
                                                   :C (v57 / label~e.32))))
                           :E (v35 / label~e.18)
                           :C (v36 / label~e.19)))))
