# ::id 729008
# ::tok She starred alongside Liev Schreiber as CIA agent Evelyn Salt , who goes on the run after she is accused of being a KGB sleeper agent .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.1 3-1.1.3.2 4-1.1.3.2 5-1.1.4.4 6-1.1.4.5.1 7-1.1.4.5.2 8-1.1.4.1 9-1.1.4.1 12-1.1.4.2.1.3.1 13-1.1.4.2.1.3.2 14-1.1.4.2.1.3.3 15-1.1.4.2.1.3.4 16-1.1.4.2.2 17-1.1.4.2.3.1 19-1.1.4.2.3.2.2 20-1.1.4.2.3.3.1.1 21-1.1.4.2.3.3.1.2 22-1.1.4.2.3.3.2.1 23-1.1.4.2.3.3.2.2 24-1.1.4.2.3.3.2.3 25-1.1.4.2.3.3.2.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label~e.1)
           :A (v5 / label
                  :R (v7 / label~e.2)
                  :C (v8 / label~e.3,4))
           :A (v6 / label
                  :C (v9 / label~e.8,9)
                  :E (v10 / label
                          :H (v13 / label
                                  :A v9
                                  :P (v18 / label
                                          :E (v22 / label~e.12)
                                          :R (v23 / label~e.13)
                                          :E (v24 / label~e.14)
                                          :C (v25 / label~e.15)))
                          :L (v14 / label~e.16)
                          :H (v15 / label
                                  :A (v19 / label~e.17)
                                  :S (v20 / label
                                          :C (v26 / label~e.19))
                                  :A (v21 / label
                                          :S (v27 / label
                                                  :R (v29 / label~e.20)
                                                  :C (v30 / label~e.21))
                                          :A (v28 / label
                                                  :E (v31 / label~e.22)
                                                  :E (v32 / label~e.23)
                                                  :E (v33 / label~e.24)
                                                  :C (v34 / label~e.25)))))
                  :R (v11 / label~e.5)
                  :E (v12 / label
                          :E (v16 / label~e.6)
                          :C (v17 / label~e.7)))))
