# ::id 948004
# ::tok Their break - up inspired Stefani lyrically , and many of the album 's songs , such as " Do n't Speak " , " Sunday Morning " , and " Hey You " , chronicle the ups and downs of their relationship .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.1.2 4-1.1.2 5-1.1.3 6-1.1.4 8-1.2 9-1.3.3.1 10-1.3.3.2 12-1.3.3.5.1 13-1.3.3.5.2 14-1.3.3.3 16-1.3.3.6.1 17-1.3.3.6.1 19-1.3.3.6.2.1 20-1.3.3.6.2.1 21-1.3.3.6.2.1 25-1.3.3.6.2.2 26-1.3.3.6.2.2 29-1.3.3.6.2.3 31-1.3.3.6.2.4 32-1.3.3.6.2.4 35-1.3.4 37-1.3.5.2.1 38-1.3.5.2.2 39-1.3.5.2.3 40-1.3.5.3.2 41-1.3.5.3.3 42-1.3.5.3.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label
                  :A (v12 / label~e.0)
                  :P (v13 / label~e.1,3))
           :S (v6 / label~e.4)
           :A (v7 / label~e.5)
           :A (v8 / label~e.6))
    :L (v3 / label~e.8)
    :H (v4 / label
           :A (v9 / label
                  :Q (v14 / label~e.9)
                  :R (v15 / label~e.10)
                  :C (v16 / label~e.14)
                  :E (v17 / label
                          :C (v21 / label~e.12)
                          :R (v22 / label~e.13))
                  :E (v18 / label
                          :R (v23 / label~e.16,17)
                          :C (v24 / label
                                  :C (v31 / label~e.19,20,21)
                                  :C (v32 / label~e.25,26)
                                  :N (v33 / label~e.29)
                                  :C (v34 / label~e.31,32))))
           :P (v10 / label~e.35)
           :A (v11 / label
                   :C (v19 / label
                           :C (v25 / label~e.37)
                           :N (v26 / label~e.38)
                           :C (v27 / label~e.39))
                   :E (v20 / label
                           :D v19
                           :R (v28 / label~e.40)
                           :A (v29 / label~e.41)
                           :P (v30 / label~e.42)))))
