# ::id 963008
# ::tok Leigh explained that she played " as many different parts as possible " in an attempt to learn her craft and to dispel prejudice about her abilities .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.6 3-1.1.3.1.5 4-1.1.3.7.2 6-1.1.3.7.3.1 7-1.1.3.7.3.2 8-1.1.3.7.3.3.2 9-1.1.3.7.3.4 10-1.1.3.7.4.1 11-1.1.3.7.4.2 13-1.1.3.8 14-1.1.3.1.1.1 15-1.1.3.1.1.2 17-1.1.3.1.3 18-1.1.3.1.4.1 19-1.1.3.1.4.2 20-1.1.3.2 21-1.1.3.3 22-1.1.3.4.1 23-1.1.3.4.2.1 24-1.1.3.4.2.2.1 25-1.1.3.4.2.2.2 26-1.1.3.4.2.2.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label~e.1)
           :A (v5 / label
                  :H (v6 / label
                         :D (v13 / label
                                 :E (v22 / label~e.14)
                                 :C (v23 / label~e.15))
                         :P (v14 / label~e.17)
                         :A (v15 / label
                                 :E (v24 / label~e.18)
                                 :C (v25 / label~e.19))
                         :A (v16 / label~e.3))
                  :L (v7 / label~e.20)
                  :L (v8 / label~e.21)
                  :H (v9 / label
                         :P (v17 / label~e.22)
                         :A (v18 / label
                                 :S (v26 / label~e.23)
                                 :A (v27 / label
                                         :R (v34 / label~e.24)
                                         :A (v35 / label~e.25)
                                         :S (v36 / label~e.26)))
                         :A v16)
                  :R (v10 / label~e.2)
                  :H (v11 / label
                          :A v16
                          :P (v19 / label~e.4)
                          :A (v20 / label
                                  :R (v28 / label~e.6)
                                  :Q (v29 / label~e.7)
                                  :E (v30 / label
                                          :A (v31 / label~e.9)
                                          :S (v37 / label~e.8))
                                  :C v31)
                          :D (v21 / label
                                  :R (v32 / label~e.10)
                                  :C (v33 / label~e.11)))
                  :L (v12 / label~e.13))))
